Image_Name,Contour_Index,X,Y
IMD002.bmp,0,418,85
IMD002.bmp,0,417,86
IMD002.bmp,0,409,86
IMD002.bmp,0,408,87
IMD002.bmp,0,400,87
IMD002.bmp,0,399,88
IMD002.bmp,0,391,88
IMD002.bmp,0,390,89
IMD002.bmp,0,387,89
IMD002.bmp,0,386,90
IMD002.bmp,0,382,90
IMD002.bmp,0,381,91
IMD002.bmp,0,378,91
IMD002.bmp,0,377,92
IMD002.bmp,0,374,92
IMD002.bmp,0,373,93
IMD002.bmp,0,370,93
IMD002.bmp,0,369,94
IMD002.bmp,0,366,94
IMD002.bmp,0,365,95
IMD002.bmp,0,361,95
IMD002.bmp,0,360,96
IMD002.bmp,0,357,96
IMD002.bmp,0,356,97
IMD002.bmp,0,353,97
IMD002.bmp,0,347,103
IMD002.bmp,0,347,104
IMD002.bmp,0,340,111
IMD002.bmp,0,340,112
IMD002.bmp,0,333,119
IMD002.bmp,0,333,120
IMD002.bmp,0,332,121
IMD002.bmp,0,332,124
IMD002.bmp,0,331,125
IMD002.bmp,0,331,128
IMD002.bmp,0,330,129
IMD002.bmp,0,330,133
IMD002.bmp,0,329,134
IMD002.bmp,0,329,137
IMD002.bmp,0,327,139
IMD002.bmp,0,326,139
IMD002.bmp,0,316,149
IMD002.bmp,0,315,149
IMD002.bmp,0,306,158
IMD002.bmp,0,306,160
IMD002.bmp,0,305,161
IMD002.bmp,0,305,163
IMD002.bmp,0,304,164
IMD002.bmp,0,304,165
IMD002.bmp,0,303,166
IMD002.bmp,0,303,168
IMD002.bmp,0,302,169
IMD002.bmp,0,302,171
IMD002.bmp,0,301,172
IMD002.bmp,0,301,174
IMD002.bmp,0,300,175
IMD002.bmp,0,300,177
IMD002.bmp,0,299,178
IMD002.bmp,0,299,179
IMD002.bmp,0,294,184
IMD002.bmp,0,293,184
IMD002.bmp,0,291,186
IMD002.bmp,0,290,186
IMD002.bmp,0,287,189
IMD002.bmp,0,286,189
IMD002.bmp,0,283,192
IMD002.bmp,0,282,192
IMD002.bmp,0,280,194
IMD002.bmp,0,279,194
IMD002.bmp,0,276,197
IMD002.bmp,0,276,198
IMD002.bmp,0,275,199
IMD002.bmp,0,275,201
IMD002.bmp,0,274,202
IMD002.bmp,0,274,203
IMD002.bmp,0,273,204
IMD002.bmp,0,273,206
IMD002.bmp,0,272,207
IMD002.bmp,0,272,208
IMD002.bmp,0,271,209
IMD002.bmp,0,271,211
IMD002.bmp,0,270,212
IMD002.bmp,0,270,213
IMD002.bmp,0,269,214
IMD002.bmp,0,269,216
IMD002.bmp,0,268,217
IMD002.bmp,0,268,218
IMD002.bmp,0,267,219
IMD002.bmp,0,267,221
IMD002.bmp,0,265,223
IMD002.bmp,0,265,224
IMD002.bmp,0,263,226
IMD002.bmp,0,263,227
IMD002.bmp,0,261,229
IMD002.bmp,0,261,230
IMD002.bmp,0,260,231
IMD002.bmp,0,260,232
IMD002.bmp,0,258,234
IMD002.bmp,0,258,235
IMD002.bmp,0,256,237
IMD002.bmp,0,256,238
IMD002.bmp,0,254,240
IMD002.bmp,0,254,241
IMD002.bmp,0,252,243
IMD002.bmp,0,252,244
IMD002.bmp,0,250,246
IMD002.bmp,0,250,247
IMD002.bmp,0,249,248
IMD002.bmp,0,249,249
IMD002.bmp,0,247,251
IMD002.bmp,0,247,253
IMD002.bmp,0,246,254
IMD002.bmp,0,246,263
IMD002.bmp,0,245,264
IMD002.bmp,0,245,273
IMD002.bmp,0,244,274
IMD002.bmp,0,244,282
IMD002.bmp,0,262,300
IMD002.bmp,0,261,301
IMD002.bmp,0,261,307
IMD002.bmp,0,260,308
IMD002.bmp,0,260,314
IMD002.bmp,0,259,315
IMD002.bmp,0,259,321
IMD002.bmp,0,258,322
IMD002.bmp,0,258,323
IMD002.bmp,0,256,325
IMD002.bmp,0,256,326
IMD002.bmp,0,255,327
IMD002.bmp,0,255,328
IMD002.bmp,0,254,329
IMD002.bmp,0,254,330
IMD002.bmp,0,253,331
IMD002.bmp,0,253,332
IMD002.bmp,0,252,333
IMD002.bmp,0,252,334
IMD002.bmp,0,251,335
IMD002.bmp,0,251,336
IMD002.bmp,0,250,337
IMD002.bmp,0,250,338
IMD002.bmp,0,249,339
IMD002.bmp,0,249,340
IMD002.bmp,0,248,341
IMD002.bmp,0,248,344
IMD002.bmp,0,247,345
IMD002.bmp,0,247,348
IMD002.bmp,0,246,349
IMD002.bmp,0,246,352
IMD002.bmp,0,245,353
IMD002.bmp,0,245,356
IMD002.bmp,0,244,357
IMD002.bmp,0,244,361
IMD002.bmp,0,243,362
IMD002.bmp,0,243,365
IMD002.bmp,0,242,366
IMD002.bmp,0,242,369
IMD002.bmp,0,241,370
IMD002.bmp,0,241,375
IMD002.bmp,0,240,376
IMD002.bmp,0,240,382
IMD002.bmp,0,239,383
IMD002.bmp,0,239,390
IMD002.bmp,0,240,391
IMD002.bmp,0,240,394
IMD002.bmp,0,241,395
IMD002.bmp,0,241,397
IMD002.bmp,0,242,398
IMD002.bmp,0,242,400
IMD002.bmp,0,243,401
IMD002.bmp,0,243,404
IMD002.bmp,0,244,405
IMD002.bmp,0,244,407
IMD002.bmp,0,245,408
IMD002.bmp,0,245,410
IMD002.bmp,0,246,411
IMD002.bmp,0,246,414
IMD002.bmp,0,247,415
IMD002.bmp,0,247,417
IMD002.bmp,0,248,418
IMD002.bmp,0,248,420
IMD002.bmp,0,249,421
IMD002.bmp,0,248,422
IMD002.bmp,0,248,425
IMD002.bmp,0,247,426
IMD002.bmp,0,247,429
IMD002.bmp,0,246,430
IMD002.bmp,0,246,433
IMD002.bmp,0,245,434
IMD002.bmp,0,245,437
IMD002.bmp,0,244,438
IMD002.bmp,0,244,441
IMD002.bmp,0,243,442
IMD002.bmp,0,243,446
IMD002.bmp,0,244,447
IMD002.bmp,0,244,448
IMD002.bmp,0,245,449
IMD002.bmp,0,245,450
IMD002.bmp,0,246,451
IMD002.bmp,0,246,452
IMD002.bmp,0,248,454
IMD002.bmp,0,248,455
IMD002.bmp,0,249,456
IMD002.bmp,0,249,457
IMD002.bmp,0,250,458
IMD002.bmp,0,250,459
IMD002.bmp,0,251,460
IMD002.bmp,0,251,461
IMD002.bmp,0,253,463
IMD002.bmp,0,253,464
IMD002.bmp,0,254,465
IMD002.bmp,0,254,467
IMD002.bmp,0,255,468
IMD002.bmp,0,255,469
IMD002.bmp,0,256,470
IMD002.bmp,0,256,472
IMD002.bmp,0,257,473
IMD002.bmp,0,257,474
IMD002.bmp,0,258,475
IMD002.bmp,0,258,477
IMD002.bmp,0,259,478
IMD002.bmp,0,259,479
IMD002.bmp,0,260,480
IMD002.bmp,0,260,482
IMD002.bmp,0,261,483
IMD002.bmp,0,261,485
IMD002.bmp,0,262,486
IMD002.bmp,0,262,487
IMD002.bmp,0,263,488
IMD002.bmp,0,263,490
IMD002.bmp,0,264,491
IMD002.bmp,0,264,492
IMD002.bmp,0,265,493
IMD002.bmp,0,265,495
IMD002.bmp,0,266,496
IMD002.bmp,0,266,497
IMD002.bmp,0,267,498
IMD002.bmp,0,267,500
IMD002.bmp,0,268,501
IMD002.bmp,0,268,502
IMD002.bmp,0,269,503
IMD002.bmp,0,270,503
IMD002.bmp,0,271,504
IMD002.bmp,0,272,504
IMD002.bmp,0,273,505
IMD002.bmp,0,275,505
IMD002.bmp,0,276,506
IMD002.bmp,0,277,506
IMD002.bmp,0,278,507
IMD002.bmp,0,280,507
IMD002.bmp,0,281,508
IMD002.bmp,0,282,508
IMD002.bmp,0,283,509
IMD002.bmp,0,285,509
IMD002.bmp,0,286,510
IMD002.bmp,0,287,510
IMD002.bmp,0,288,511
IMD002.bmp,0,290,511
IMD002.bmp,0,291,512
IMD002.bmp,0,292,512
IMD002.bmp,0,293,513
IMD002.bmp,0,295,513
IMD002.bmp,0,296,514
IMD002.bmp,0,297,514
IMD002.bmp,0,298,515
IMD002.bmp,0,300,515
IMD002.bmp,0,301,516
IMD002.bmp,0,302,516
IMD002.bmp,0,303,517
IMD002.bmp,0,304,517
IMD002.bmp,0,305,518
IMD002.bmp,0,308,515
IMD002.bmp,0,309,515
IMD002.bmp,0,312,512
IMD002.bmp,0,313,512
IMD002.bmp,0,315,510
IMD002.bmp,0,316,510
IMD002.bmp,0,319,507
IMD002.bmp,0,320,507
IMD002.bmp,0,323,504
IMD002.bmp,0,324,504
IMD002.bmp,0,326,502
